NOME;VULNERABILIDADE;LOCALIZA??O;UHS MAPEADAS;TIPOLOGIA;TIPO ASSENTAMENTO;ANO OCUPA??O DOCUMENTADO;ANO OCUPA??O ENTREVISTA;ZONEAMENTO;GRAVAMES JUDICIAIS;INTERVEN??O - PROGRAMA;UNIDADES CADASTRADAS;INTERVER??O - ESTAGIO;MANANCIAL;FEI??O MORFOLOGICA;
JARDIM VALE DO SOL;BAIXA;B. BATISTINI;55;5;Loteamento Irregular;1994;1993;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
SITIO BOM JESUS;ALTA;B. DOS ALVARENGA;null;6;Favela;1985;1985;MURE / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;751;AÁıes em andamento;SIM ;null;
REPRESA BARALDI;MUITO ALTA;B.MONTANH√ø¬øO;null;4;Favela;null;1990;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;36;AÁıes em andamento;SIM ;MORRO BAIXO;
JARDIM VIDA NOVA;BAIXA;B. DOS ALVARENGA;269;5;Loteamento Irregular;null;1993;MMS / ARA 1;ACP 2099/97;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;PLANICIE ALUVIAL;
JARDIM IPE;MUITO ALTA;B. DOS CASA;null;6;Favela;null;1978;MURE / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;797;AÁıes em andamento;SIM ;null;
JARDIM SATELITE;NENHUMA;B. COOPERATIVA;null;1;Loteamento Irregular;1991;1999;MUC / ZUD 1;ACP 3190/02;Sem previs„o de atendimento neste PPA;196;REGULARIZADO;NAO ;COLINA;
JARDIM SILVINA AUDI;MUITO ALTA;B. MONTANH√øO;null;6;Favela Parcialmente Urbanizada;null;1978;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios/ ReduÁ„o de Risco e AÁıes Emergenciais;3110;AÁıes em andamento;NAO ;MORRO ALTO;
R. CEARA MIRIM / PQ. IMIGRANTES;M…DIA;PQ. IMIGRANTES              ;null;6;Favela;1989;1947;MMS / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;51;AÁıes em andamento;SIM ;MORRO BAIXO;
CONJUNTO HABITACIONAL VL. ESPERANCA 1a ETAPA;BAIXA;B. MONTANH√ø¬øO;null;3;Favela;null;null;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;80;AÁıes em andamento;null;null;
CONJUNTO HABITACIONAL TRANSMISSAO MERCEDES;BAIXA;B. PAULIC√ø¬øIA;null;3;Conjunto Habitacional Irregular;null;null;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;128;AÁıes em andamento;null;null;
ESTRADA COOPERATIVA I e II;MUITO BAIXA;B. ALVES DIAS ;22;1;Favela Urbanizada;null;1960;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;NAO ;COLINA;
RUA CARMEM MIRANDA/JD. REPRESA;M…DIA;JD. REPRESA               ;null;6;Favela;null;1980;MMS / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;26;AÁıes em andamento;SIM ;COLINA;
CASAS FORTALEZA;M…DIA;B. DOS ALVARENGA;107;6;Favela;1996;null;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
JARDIM ALVORADA;M…DIA;B. DOS CASA;111;5;Loteamento Irregular;1991;1990;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
ESTRADA DO MONTANHAO;M…DIA;B. MONTANH√ø¬ø√ø¬øO;1944;6;Favela;null;1988;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;PMRR: Recursos Contratados;NAO ;MORRO ALTO;
PARQUE SAO BERNARDO;MUITO ALTA;B. MONTANH√ø¬øO;null;6;Favela Parcialmente Urbanizada;null;1968;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;2164;AÁıes em andamento;NAO ;null;
EST. GALVAO BUENO, 8.254/ JD. REPRESA;M…DIA;JD. REPRESA               ;null;6;Favela;null;1970;MMS / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;57;AÁıes em andamento;SIM ;MARGEM DE CORREGO;
VICTOR BRECHERET/JD. REPRESA;MUITO ALTA;JD. REPRESA               ;null;6;Favela;1989;1954;MMS / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;817;AÁıes em andamento;SIM ;MORRO BAIXO;
ASSOCIACAO PRO MORADIA SONHO REAL;BAIXA;B. DOS FINCO;80;5;Loteamento Irregular;1993;1990;MMS / ARA 1;ACP 637/99;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
SHIMIT CANAL;M…DIA;B. RIO PEQUENO;24;4;Favela;null;1953;MPA / ARO ;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;PLANICIE ALUVIAL/ MARGEM DE CORREGO/ MORRO BAIXO;
RUA NAVAL;MUITO ALTA;B. PAULICEIA;207;4;Favela;null;null;MUC / ZER 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;null;REGULARIZADO;NAO ;null;
VILA VITORIA;M…DIA;B. DOS CASA;589;5;Loteamento Irregular;1989;1989;MURE / ARA 1;ACP 1064/93;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
JARDIM NOVO HORIZONTE/FERRAZOPOLIS;M…DIA;B. FERRAZOPOLIS;null;1;Loteamento Irregular;1992;1996;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;184;REGULARIZADO;NAO ;MORROTE;
BIQUINHA;MUITO ALTA;B. MONTANH√øO;459;6;Favela;null;1980;MUC / ZUD 1;Nada consta;ReduÁ„o de Risco e AÁıes Emergenciais;null;AÁıes em andamento;NAO ;MORRO ALTO;
JARDIM ICARAI;BAIXA;B. RIACHO GRANDE;29;5;Favela;null;1970;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;FUNDO DE VALE/ MARGEM DE CORREGO;
ASSOCIACAO COMUNITARIA UNIDOS PRO TERRA;BAIXA;B. DOS CASA;129;5;Loteamento Irregular;1990;1990;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MARGEM DE CORREGO/ COLINA;
NOVO JARDIM DO LAGO;M…DIA;B. DOS CASA;null;5;Favela;1995;1990;MURE / ARA 1;ACP 230/99;RegularizaÁ„o Fundi·ria;97;AÁıes em andamento;SIM ;MORROTE;
EDGARD YAMAGUISHI;BAIXA;B. BATISTINI;24;1;Loteamento Irregular;null;1993;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
JARDIM LAURA  (FAVELA);MUITO ALTA;B. DOS ALVARENGA;701;6;Favela;null;1988;MMS / ARA 1;ACP 1824/05;ReduÁ„o de Risco e AÁıes Emergenciais;null;PMRR: AÁ„o concluÌda;SIM ;MORRO BAIXO/ MARGEM DE CORREGO;
VILA PELE;BAIXA;B. RIACHO GRANDE;235;2;Favela Urbanizada;1980;1970;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO/ MARGEM DE CORREGO;
EST. RIO ACIMA 5.850 - CAMPINHO;ALTA;R. GRANDE;33;4;Favela;null;1960;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;COLINA;
CHACARAS CAPIVARI;ALTA;Capivari ;91;6;Loteamento Irregular;1995;1960;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;COLINA E MARGEM DE C√ø¬øRREGO;
RUA GOIANIA/PQ. IMIGRANTES;M…DIA;PQ. IMIGRANTES              ;null;6;Favela;1989;1947;MMS / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;107;AÁıes em andamento (Projeto executivo em elaboraÁ„o);SIM ;MORRO BAIXO E FUNDO DE VALE;
VILA 13 DE MAIO;NENHUMA;B. MONTANH√øO;null;1;Favela Urbanizada;1995;1993;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;159;REGULARIZADO;NAO ;FUNDO DE VALE/ MARGEM DE CORREGO;
TATETOS;SELECIONE;B. TATETOS;526;8;Loteamento Irregular;null;null;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Demanda de elaboraÁ„o de projeto aprovada no OP 2012;SIM ;COLINA/ MORRO BAIXO;
TAQUACETUBA;SELECIONE;B. TAQUACETUBA;145;9;Loteamento Irregular;null;null;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;COLINA;
JARDIM ESMERALDA;MUITO ALTA;B. COOPERATIVA;null;6;Favela;null;null;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;466;AÁıes em andamento;NAO ;null;
GROTAO;MUITO ALTA;B. MONTANHAO;0;6;Favela;null;null;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;218;Demanda de elaboraÁ„o de projeto aprovada no OP 2012;NAO ;null;
RUA AMAZONAS/SARACANTAN;MUITO ALTA;B. MONTANH√øO;null;6;Loteamento Irregular;null;null;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;1351;AÁıes em andamento;NAO ;null;
VILA PROGRESSO;M…DIA;B. BAETA NEVES;null;2;Favela Urbanizada;1990;1990;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;350;AÁıes em andamento;NAO ;MORROTE;
ESTRADA ASSUMPTA SABATINI ROSSI;MUITO BAIXA;B. BATISTINI;18;5;Favela;null;1997;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;COLINA;
JARDIM SKAFF/ OCUPACAO;MUITO ALTA;B. BATISTINI;159;4;Favela;1998;1958;MURE / ARA 1;REINTEGRA√ø¬ø√ø¬øO DE POSSE;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;SIM ;MORRO BAIXO;
JARDIM NOVA PATENTE;M…DIA;B. DOS ALVARENGA;222;5;Loteamento Irregular;1992;2000;MURE / ARA 1;ACP 945/93;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
JUSSARA;BAIXA;B. BOTUJURU;null;5;Loteamento Irregular;1958;1940;MMS / ARA 1;TAC ACP 2273/97;Sem previs„o de atendimento neste PPA;271;AÁıes em andamento;SIM ;MARGEM DE CORREGO;
CONJUNTO HABITACIONAL SILVINA/ OLEODUTO 2a ETAPA;SELECIONE;B.MONTANH√øO;null;3;Conjunto Habitacional Irregular;null;null;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;532;REGULARIZADO;null;null;
CONJUNTO HABITACIONAL LAVINIA - 1a. Etapa;SELECIONE;B. ASSUN√ø√øO;null;3;Conjunto Habitacional Irregular;null;null;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;516;AÁıes em andamento;null;null;
VILA MARIANA;M…DIA;B. MONTANH√øO;null;1;Favela Urbanizada;null;null;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;492;AÁıes em andamento;NAO ;MORRO ALTO/ PLANICIE ALUVIAL;
OLARIA;BAIXA;B. BAETA NEVES;10;4;Favela;null;1979;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;COLINA;
NOVA VILA SALVADOR ARENA (ITATIBA);NENHUMA;B. BAETA NEVES;null;3;Favela Urbanizada;null;null;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;167;REGULARIZADO;null;null;
CONJUNTO HABITACIONAL BILLINGS;NENHUMA;MONTANH√øO;null;3;Conjunto Habitacional Irregular;null;null;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;160;REGULARIZADO;null;null;
VILA FERREIRA - CDHU;BAIXA;B. ALVES DIAS;null;3;Conjunto Habitacional Irregular;null;null;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;588;Sem previs„o de atendimento neste PPA;null;null;
GRANJA ITO;BAIXA;B. ALVES DIAS;null;3;Conjunto Habitacional Irregular;null;null;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;400;AÁıes em andamento;null;null;
DER - CDHU;BAIXA;CENTRO;null;3;Conjunto Habitacional Irregular;null;null;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;579;AÁıes em andamento;null;null;
RIO ACIMA 1;ALTA;B. CAPIVARI;17;7;Favela;null;null;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;SIM ;PLANICIE ALUVIAL;
RIO ACIMA 2;ALTA;B. CAPIVARI;51;8;Favela;null;null;MMS / ARA 1;ACP 790/11;Sem previs„o de atendimento neste PPA;null;Demanda de elaboraÁ„o de projeto aprovada no OP 2012;SIM ;COLINA;
JARDIM SILVINA OLEODUTO 2a ETAPA;MUITO BAIXA;B. MONTANH√øO;null;3;Conjunto Habitacional Irregular;null;null;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;240;REGULARIZADO;NAO ;null;
VILA CCS;M…DIA;B. DOS FINCO;120;5;Loteamento Irregular;null;1986;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;COLINA;
FIGUEIRA KM 25 ANCHIETA;ALTA;B. FERRAZ√øPOLIS;null;4;Favela;null;1996;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;67;AÁıes em andamento;NAO ;COLINA;
SITIO DOS VIANAS;M…DIA;B. MONTANH√ø¬øO;196;2;Favela Urbanizada;null;1975;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MORRO BAIXO;
VILA BOA VISTA/SANTANA;M…DIA;B. MONTANH√øO;null;5;Favela Urbanizada;null;null;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;2093;AÁıes em andamento;NAO ;MORRO ALTO/ PLANICIE ALUVIAL;
TELES DE MENEZES;NENHUMA;B. FERRAZ√øPOLIS;null;1;Favela Urbanizada;1995;null;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;93;REGULARIZADO;NAO ;MARGEM DE CORREGO;
CONJUNTO HABITACIONAL SERRA DO MAR;NENHUMA;B. INDEPEND√øNCIA;null;3;Conjunto Habitacional Irregular;null;null;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;240;REGULARIZADO;null;null;
JARDIM DOS QUIMICOS;NENHUMA;B. MONTANH√ø¬øO;null;1;Loteamento Irregular;1987;1988;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;334;REGULARIZADO;NAO ;MORRO ALTO;
RUA ENCO ZOLCSAK;BAIXA;B. FERRAZ√øPOLIS;37;5;Favela Urbanizada;1990;1988;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;NAO ;PLANICIE ALUVIAL;
VILA COMUNITARIA/CDHU (PROURB);NENHUMA;B. PLANALTO;null;1;Loteamento Irregular;1984;1983;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;50;REGULARIZADO;NAO ;COLINA;
CONJUNTO HABITACIONAL LAVINIA - 2a. Etapa;MUITO BAIXA;B. ASSUN√ø√øO;180;6;Conjunto Habitacional Irregular;null;null;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;180;AÁıes em andamento;NAO ;null;
VILA VANGUARDA/SARACANTAN;MUITO ALTA;B. MONTANH√øO;null;6;Favela Urbanizada;2000;1988;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;266;AÁıes em andamento;NAO ;PLANICIE ALUVIAL;
CONJUNTO HABITACIONAL JARDIM ESMERALDA - 1a. ETAPA;NENHUMA;B. COOPERATIVA;null;3;Conjunto Habitacional Irregular;null;null;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;332;AÁıes em andamento;null;null;
VILA SAO PEDRO;M…DIA;B. MONTANH√ø¬øO;7832;6;Favela Parcialmente Urbanizada;1992;1988;MUC / ZUD 1;Nada consta;ReduÁ„o de Risco e AÁıes Emergenciais;null;AÁıes em andamento;NAO ;MORRO ALTO;
WANDA BUENO;NENHUMA;B. FERRAZ√øPOLIS;null;1;Loteamento Irregular;null;1985;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;13;REGULARIZADO;NAO ;COLINA;
RUA APUCARANA/R. GENERAL ISIDORO DIAS LOPES;MUITO BAIXA;B. PAULIC√øIA;10;1;Favela;null;1970;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;NAO ;COLINA;
PAI HEROI;M…DIA;B. BAETA NEVES;602;2;Favela Urbanizada;1980;1980;MUC / ZUD 1;Nada consta;ReduÁ„o de Risco e AÁıes Emergenciais;null;AÁıes em andamento;NAO ;MORRO ALTO/ FUNDO DE VALE;
VILA DA BIQUINHA/ASSOCIACAO ;BAIXA;B. MONTANHAO;null;1;Loteamento Irregular;1987;1995;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;331;AÁıes em andamento;NAO ;MORO BAIXO;
ALBERTO ASCENCIO;ALTA;B. FERRAZ√øPOLIS;50;6;Favela Urbanizada;null;1960;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MORROTE;
BELA VISTA (CAMPO FERRAZOPOLIS) ;NENHUMA;B. FERRAZ√ø¬øPOLIS;null;1;Loteamento Irregular;1992;1980;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;206;REGULARIZADO;NAO ;MORROTE;
JARDIM FLORAL;MUITO BAIXA;B. BAETA NEVES;103;1;Loteamento Irregular;1995;1970;MUC / ZUD 1;Nada consta;ReduÁ„o de Risco e AÁıes Emergenciais;null;AÁıes em andamento;NAO ;MORRO BAIXO;
VILA FELIZ;ALTA;B. MONTANH√øO;204;6;Favela Urbanizada;1994;1997;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;127;AÁıes em andamento;NAO ;PLANICIE ALUVIAL;
VILA SAO BERNARDO NOVO;ALTA;B. MONTANHAO;30;4;Loteamento Irregular;1992;1960;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;FUNDO DE VALE;
JESUS DE NAZARETH III;ALTA;B. FERRAZ√øPOLIS;66;6;Favela;null;1975;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MORRO ALTO;
VILA LULALDO;ALTA;B. BOTUJURU;260;6;Favela;1995;1989;MMS / ARA 1;Nada consta;RegularizaÁ„o Fundi·ria;null;AÁıes em andamento;SIM ;MARGEM DE CORREGO;
JARDIM REGINA;MUITO ALTA;B. FERRAZOPOLIS;383;6;Favela;null;1981;MUC / ZUD 1;Nada consta;ReduÁ„o de Risco e AÁıes Emergenciais;null;Demanda de elaboraÁ„o de projeto aprovada no OP 2012;NAO ;MORRO ALTO;
RUA VENEZUELA;MUITO ALTA;B. TABO√øO;18;4;Favela;null;1990;MUC / ZER 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MARGEM DE CORREGO;
JESUS DE NAZARETH I e II/FERRAZOPOLIS;ALTA;B. FERRAZOPOLIS;930;6;Favela Urbanizada;null;1990;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Demanda de elaboraÁ„o de projeto aprovada no OP 2012;NAO ;MORRO ALTO;
MONTE SIAO;ALTA;B. MONTANH√øO;null;6;Loteamento Irregular;1989;1970;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;165;AÁıes em andamento;NAO ;MORRO ALTO;
TIRO DE GUERRA;BAIXA;B. MONTANH√øO;null;5;Favela;null;1980;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;128;AÁıes em andamento;NAO ;MORRO ALTO;
RUA GASPAR DE SOUZA/SILVINA AUDI;M…DIA;B. MONTANH√øO;null;6;Favela Urbanizada;null;1976;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;126;AÁıes em andamento;NAO ;MORRO ALTO;
AREIAO;M…DIA;B. MONTANH√ø¬øO;null;6;Favela Parcialmente Urbanizada;1990;1980;MMS / ARA 1;ACP 259/06;Sem previs„o de atendimento neste PPA;1843;AÁıes em andamento;SIM ;MORRO ALTO;
SABESP;ALTA;B. MONTANH√øO;null;6;Favela Urbanizada;1985;1975;MMS / ARA 1;ACP 259/06;Sem previs„o de atendimento neste PPA;426;AÁıes em andamento;SIM ;MORRO ALTO/ MARGEM DE CORREGO;
VILA SONIA MARIA;ALTA;B. ALVES DIAS;241;6;Favela;null;1967;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;SIM ;FUNDO DE VALE;
BELITA NAZARETH;BAIXA;B. ALVES DIAS;null;5;Favela Urbanizada;1995;1985;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;537;AÁıes em andamento;NAO ;COLINA;
JARDIM UENOYAMA (IRREGULAR);BAIXA;B. COOPERATIVA;null;1;Favela Urbanizada;null;1985;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;129;REGULARIZADO;NAO ;MARGEM DE CORREGO/ MORROTE;
JARDIM SANTA MARIA (RUA N. S. DE FATIMA);M…DIA;B. ALVES DIAS;52;2;Loteamento Irregular;1956;1955;MUC / ZUD 1;ACP 839/91;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MARGEM DE CORREGO/ COLINA;
PEREIRA BARRETO;MUITO ALTA;B. BAETA NEVES;61;4;Favela;null;1999;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MARGEM DE CORREGO;
JARDIM LIMPAO;MUITO ALTA;B. FERRAZOPOLIS;916;6;Favela Urbanizada;null;1990;MUC / ZUD 1;Nada consta;ReduÁ„o de Risco e AÁıes Emergenciais;null;Demanda de elaboraÁ„o de projeto aprovada no OP 2012;NAO ;MORRO ALTO;
SITIO PICA PAU AMARELO;MUITO ALTA;B. MONTANH√ø¬øO;13;4;Favela Urbanizada;null;1990;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;FUNDO DE VALE;
MOREIRA BERNARDES;M…DIA;B. MONTANH√øO;165;2;Favela;null;1989;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MARGEM DE CORREGO/ FUNDO DE VALE;
JARDIM CALUX/ URBANIZADO CDHU;BAIXA;B. PLANALTO;2201;5;Favela Urbanizada;null;1956;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;null;AÁıes em andamento;NAO ;MORRO BAIXO/ MARGEM DE CORREGO;
DER II ;M…DIA;B. PLANALTO;210;2;Favela Urbanizada;null;1990;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;NAO ;MORRO BAIXO;
VILA NOVA ANTUNES;NENHUMA;B. COOPERATIVA;null;1;Loteamento Irregular;1996;1996;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;399;REGULARIZADO;NAO ;COLINA/ MARGEM DE CORREGO;
ASSOCIACAO DOS SEM TETO DO BAIRRO BATISTINI;BAIXA;B. COOPERATIVA;68;1;Loteamento Irregular;1998;2001;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;NAO ;FUNDO DE VALE/ COLINA;
RUA ALDINO PINOTTI;M…DIA;B. CENTRO;12;4;Favela;null;1980;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;PLANICIE ALUVIAL;
LOTEAMENTO VILA SANTA;NENHUMA;B. COOPERATIVA;null;1;Loteamento Irregular;null;1960;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;149;REGULARIZADO;NAO ;MORROTE/ MARGEM DE CORREGO;
NOVO PARQUE/PARQUE SAO BERNARDO;ALTA;B. MONTANH√ø¬øO;356;6;Favela;null;1968;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;356;AÁıes em andamento;NAO ;null;
RUA CASPER LIBERO, 1.655;ALTA;B. PAULIC√øIA;null;6;Favela;null;1970;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;34;AÁıes em andamento;NAO ;MARGEM DE CORREGO;
VILA ROSA CRUZ;ALTA;B. ALVES DIAS ;74;6;Favela;1990;1995;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MARGEM DE CORREGO/ COLINA;
ASSOCIACAO COMUNITARIA IPE II (OLICE RAIZA);BAIXA;B. VARGINHA;13;5;Loteamento Irregular;null;1995;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MARGEM DE CORREGO;
VILA FENIX (AV. ISAAC AIZEMBERG);ALTA;B. INDEPEND√øNCIA;13;4;Favela Urbanizada;null;1990;MUC / ZER 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MARGEM DE CORREGO;
RISUKE MIURA (ASSOC. COM. NOSSO LAR);BAIXA;B. DOS ALVARENGA;46;1;Loteamento Irregular;1992;1998;MURE / ARA 1;ACP 1866/95;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;SIM ;FUNDO DE VALE;
CIDADE MIRAMAR;BAIXA;B. ASSUN√ø√øO;602;1;Loteamento Irregular;1950;1950;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;NAO ;COLINA;
RUA MAFRA;ALTA;B. RIACHO GRANDE;95;6;Favela Urbanizada;null;1990;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;FUNDO DE VALE/ MARGEM DE CORREGO;
SIMAO PORTELA (FAVELA);ALTA;B. RIACHO GRANDE;10;4;Favela;1998;null;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;SIM ;PLANICIE ALUVIAL;
