NOME;VULNERABILIDADE;LOCALIZA??O;UHS MAPEADAS;TIPOLOGIA;TIPO ASSENTAMENTO;ANO OCUPA??O DOCUMENTADO;ANO OCUPA??O ENTREVISTA;ZONEAMENTO;GRAVAMES JUDICIAIS;INTERVEN??O - PROGRAMA;UNIDADES CADASTRADAS;INTERVER??O - ESTAGIO;MANANCIAL;FEI??O MORFOLOGICA;
VILA GLORIA;BAIXA;B. DOS CASA;56;5;Loteamento Irregular;null;1993;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
ASSOCIACAO UNIAO E FORCA - JARDIM IPE IV;BAIXA;B. DEMARCHI;null;1;Loteamento Irregular;1985;1989;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;394;AÁıes em andamento;SIM ;MORRO BAIXO;
SANTA CRUZ;ALTA;B. RIACHO GRANDE;1023;6;Favela;1990;1995;MMS / ARA 1;ACP 259/06;Sem previs„o de atendimento neste PPA;null;Demanda de elaboraÁ„o de projeto aprovada no OP 2012;SIM ;MORRO BAIXO/ MARGEM DE CORREGO;
NOVO HORIZONTE/ FAVELA;MUITO ALTA;B. FERRAZ√øPOLIS;413;6;Favela;null;1988;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Demanda de elaboraÁ„o de projeto aprovada no OP 2012;NAO ;MORRO BAIXO;
JARDIM UIRICABA;BAIXA;B. BATISTINI;435;5;Loteamento Irregular;1992;1947;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
RUA ARTHUR DA FROTA MOREIRA;ALTA;B. FERRAZ√øPOLIS;78;6;Favela Urbanizada;1985;1982;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MORROTE;
VILA DOS ESTUDANTES;ALTA;B. MONTANH√øO;null;6;Favela;null;1992;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;733;AÁıes em andamento;SIM ;MORRO ALTO;
PARQUE DAS FLORES I;BAIXA;B. DOS CASA;322;5;Loteamento Irregular;1980;1992;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
RUA MARIO PAULO AUTUORI, 384;ALTA;R. GRANDE;9;4;Favela;null;1990;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO ALTO/ MARGEM DE CORREGO;
PARQUE IDEAL;BAIXA;B. DOS ALVARENGA;null;5;Loteamento Irregular;1990;1992;MMS / ARA 1;ACP 1169/93;Sem previs„o de atendimento neste PPA;546;AÁıes em andamento;SIM ;MORRO BAIXO;
JARDIM S√O LUCAS/ JARDIM COCAIA;M…DIA;B. VARGINHA;null;2;Loteamento Irregular;1984;1991;MMS / ARA 1;ACP 1116/93;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;74;Em processo de licitaÁ„o;SIM ;COLINA/ MARGEM DE CORREGO;
PARQUE SAO RAFAEL ;M…DIA;B. MONTANHAO;null;2;Loteamento Irregular;1989;1992;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;212;AÁıes em andamento;NAO ;MORRO ALTO;
RUA DOS VIANAS ;ALTA;B. MONTANH√øO;null;6;Favela Urbanizada;null;1965;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;170;AÁıes em andamento;NAO ;MARGEM DE CORREGO;
MININHA;ALTA;B. MONTANH√øO;85;6;Favela;null;1975;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MORRO BAIXO;
JARDIM MARCO POLO I;BAIXA;B. BATISTINI;null;1;Loteamento Irregular;1990;1992;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;66;AÁıes em andamento;SIM ;MARGEM DE CORREGO/ COLINA;
VILA SOARES;NENHUMA;B. COOPERATIVA;null;1;Favela;2002;1992;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;333;REGULARIZADO;NAO ;MORROTE;
SITIO DOS MORROS;MUITO ALTA;B. BATISTINI;59;4;Favela;1996;1983;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;SIM ;COLINA;
PARQUE DOS QUIMICOS;BAIXA;B. DOS ALVARENGA;null;5;Loteamento Irregular;1987;1988;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;645;AÁıes em andamento;SIM ;MORRO BAIXO;
SANTA MARIA - Assentamento Precario;BAIXA;B. BATISTINI;49;1;Favela Urbanizada;1986;1947;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;COLINA;
ROMILDO CEOLA;NENHUMA;B. FERRAZ√øPOLIS;null;1;Favela Urbanizada;1992;1960;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;53;REGULARIZADO;NAO ;COLINA;
